Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO01722,8.34900,8.27648,8.66546,8.19078,8.86324,Y,Y,N,N,0.00000,0.00000,N,N,2,135
LOGQ,ECO01723,7.43791,7.38029,7.58914,7.31548,7.76198,Y,Y,N,N,0.00000,0.00000,N,N,1,64
LOGZ,ECO01723,8.20396,8.12485,8.32922,8.05892,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,113
LOGQ,ECO01724,6.97700,6.99140,7.16424,-inf,7.38749,N,Y,Y,N,0.14036,0.00000,N,N,1,0
LOGZ,ECO01724,8.34900,8.27648,8.56657,8.21055,8.76435,Y,Y,N,N,0.00000,0.00000,N,N,2,135
LOGQ,ECO01725,7.07062,7.03461,7.27227,6.99140,7.53153,Y,Y,N,N,0.01780,0.00000,N,N,1,13
LOGZ,ECO01725,8.22374,8.17100,8.34241,8.11166,8.61931,Y,Y,N,N,0.00000,0.00000,N,N,3,116
LOGQ,ECO01728,7.12823,7.08502,7.40190,7.02741,7.66116,Y,Y,N,N,0.00185,0.00000,N,N,1,21
LOGZ,ECO01728,8.26989,8.20396,8.49405,8.13803,8.80391,Y,Y,N,N,0.00000,0.00000,N,N,2,123
LOGQ,ECO01729,6.97700,7.00581,7.39470,-inf,7.64675,N,Y,Y,N,0.07720,0.00000,N,N,1,0
LOGZ,ECO01729,8.33582,8.31604,8.92917,8.23033,9.01488,Y,Y,N,N,0.00000,0.00230,N,N,3,133
