Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,ECO00055,Y,1.00000,1.00000,0.00000,10.98708
oiii4959,ECO00055,Y,0.67593,0.47847,2.16186,7.40014
oiii5007,ECO00055,Y,1.71446,1.42752,2.74512,16.40222
oi6300,ECO00055,Y,0.27358,0.05136,3.66005,4.50588
nii6548,ECO00055,Y,0.10066,0.10447,-0.23689,6.25142
halpha,ECO00055,Y,2.86000,2.80455,0.71864,37.06813
nii6584,ECO00055,Y,0.30251,0.30795,-0.11212,6.22889
sii6717,ECO00055,Y,0.45827,0.40645,0.87252,7.71607
sii6731,ECO00055,Y,0.31793,0.30922,0.16566,6.05227
hbeta,ECO00058,Y,1.00000,1.00000,0.00000,17.70318
